rank,opportunity_score,query,category,source_name,title,price,query_median_price,query_min_price,query_offer_count,query_source_count,price_gap_to_median_pct,demand_proxy,confidence,item_url,image_url,fetched_at
56,72.48,mouse gamer,mouse,kabum,"Cabo HP VGA SVGA, 2 Metros, Preto, DHC-VG100 - 194U0AA",25.87,124.10,6.99,94,6,0.7915,5.00,0.95,https://www.kabum.com.br/produto/354014/cabo-hp-vga-svga-2-metros-preto-dhc-vg100-194u0aa,https://images.kabum.com.br/produtos/fotos/354014/cabo-vga-svga-hp-2m-preto-194u0aa_1655928447_m.jpg,2026-05-01 13:17:01.473 -0300
57,72.43,fone bluetooth,headset_fone,mercado_livre,Fone Bluetooth I12 Preto,19.90,149.45,19.90,70,3,0.8668,0.00,0.85,,,2026-05-02 15:56:04.896 -0300
58,72.36,webcam,webcam,kabum,"Webcam Full HD 1080p, Com Microfone, USB, Visão 360 graus",28.96,139.99,9.81,83,4,0.7931,4.00,0.95,https://www.kabum.com.br/produto/245683/webcam-full-hd-1080p-com-microfone-usb-visao-360-graus,https://images.kabum.com.br/produtos/fotos/sync_mirakl/245683/Webcam-Full-HD-1080p-Com-Microfone-USB-Vis-o-360-graus_1723670810_m.jpg,2026-05-02 12:37:49.524 -0300
59,72.36,webcam,webcam,kabum,"Webcam, Mini Câmera, PC, Full HD, Com Microfone",28.96,139.99,9.81,83,4,0.7931,4.00,0.95,https://www.kabum.com.br/produto/245681/webcam-mini-camera-pc-full-hd-com-microfone,https://images.kabum.com.br/produtos/fotos/sync_mirakl/245681/Webcam-Mini-C-mera-PC-Full-HD-Com-Microfone_1669727919_m.jpg,2026-05-02 12:37:49.524 -0300
60,72.31,fone bluetooth,headset_fone,amazon,"Fone De Ouvido Bluetooh Com Borrachinha, Sem Fio, Compatível Com Todo Celular, Cancelamento Ruído, Bateria Até 16 Horas, Microfone Para Chamadas, Controle Touch, Conecta no Notebook - Linha Premium",37.90,149.45,19.90,70,3,0.7464,500.00,0.90,https://www.amazon.com.br/dp/B0FVGP3Z9H,https://m.media-amazon.com/images/I/510DnC5nlnL._AC_UL320_.jpg,2026-05-02 05:52:18.778 -0300
61,72.14,mouse sem fio,mouse,amazon,Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium - Cores Sortidas,18.90,60.34,5.49,91,6,0.6868,1600.00,0.90,https://www.amazon.com.br/dp/B0F1G2TL8P,https://m.media-amazon.com/images/I/51NVWRIcQ2L._AC_UL320_.jpg,2026-05-02 04:13:04.609 -0300
62,72.12,teclado gamer,teclado,amazon,"Teclado Gamer Semi Mecânico RGB LED Rainbow, USB, ABNT-2, Anti-Ghosting, Multimídia, Ideal para Jogos e Digitação, Ergonômico - Computador Videogame",45.90,174.98,43.90,91,5,0.7377,100.00,0.90,https://www.amazon.com.br/dp/B0GTB3ZJYL,https://m.media-amazon.com/images/I/71utpjlJrYL._AC_UL320_.jpg,2026-05-02 17:03:22.396 -0300
63,71.73,webcam,webcam,amazon,"Webcam Full HD 1080p com Microfone - Para Home Office e Videoconferências, Preto",39.90,139.99,9.81,83,4,0.7150,253.00,0.90,https://www.amazon.com.br/dp/B0CZZ3KYVL,https://m.media-amazon.com/images/I/61P5shurt+L._AC_UL320_.jpg,2026-05-02 04:15:14.996 -0300
64,71.47,webcam,webcam,kabum,"Webcam Bright Office, 480p - WC574",26.55,139.99,9.81,83,4,0.8103,0.00,0.95,https://www.kabum.com.br/produto/149076/webcam-bright-office-480p-wc574,https://images.kabum.com.br/produtos/fotos/sync_mirakl/149076/medium/Webcam-Bright-Office-480p-WC574_1754424581.jpg,2026-05-02 04:23:44.631 -0300
65,71.22,webcam,webcam,amazon,Webcam Camera Full Hd Zoom 1080p 360 Graus Entrada Usb 2.0 Com Microfone Ideal para Videoconferencia Zoom Meet Teams Livestream Aulas online Reunião Skype Premium,39.90,139.99,9.81,83,4,0.7150,170.00,0.90,https://www.amazon.com.br/dp/B0F9ZP686Q,https://m.media-amazon.com/images/I/51poXd3aR4L._AC_UL320_.jpg,2026-05-02 04:15:14.996 -0300
