product_id,product_name,product_name_key,domain_id,category,status,brand,line,model,gtin,main_color,first_image_url,queries,query_count,fetched_date,fetched_at,source_file
MLB34978784,Carregador Usb-c Ec 10 Power 20w Intelbras Branco,carregador usb c ec 10 power 20w intelbras branco,MLB-MOBILE_DEVICE_CHARGERS,cabo,active,Intelbras,,Branco,7899298656715,Branco,https://http2.mlstatic.com/D_NQ_NP_901504-MLA99514924974_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB42228663,"Carregador USB Pd Dewalt de 2 portas, bloco de carregamento USB C Worksite, carregador rápido de porta dupla de 49,5 W, carregador de parede USB tipo C dobrável e carregador de parede Qc 3.0 para...",carregador usb pd dewalt 2 portas bloco carregamento usb c worksite carregador rapido porta dupla 49 5 w,MLB-LASER_LEVELS,cabo,active,DeWalt,,DXMA1310851,826341042819,,https://http2.mlstatic.com/D_NQ_NP_693830-MLA80165878391_102024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:32.921 -0300,mercado_livre_products_raw_202605041308.csv
MLB34163548,Cabo Carregador Usb Miband 4 Preto,cabo carregador usb miband 4 preto,MLB-SMARTWATCH_CHARGERS,cabo,active,Original,,Mi Band 4,92757282068,,https://http2.mlstatic.com/D_NQ_NP_980843-MLA99977252177_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB20273181,Cabo Carregador Usb,cabo carregador usb,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Smart Zla,,Sat-c003,7892019030030,,https://http2.mlstatic.com/D_NQ_NP_867103-MLA95263505832_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB38684074,Suporte de carregador USB Streamlight Strion Piggyback,suporte carregador usb streamlight strion piggyback,MLB-FLASHLIGHTS,cabo,active,Streamlight,,708451,80926741157,,https://http2.mlstatic.com/D_NQ_NP_727730-MLU77773221230_072024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB25242429,Drone Ufo Com Carregador Usb - Azul - Candide- 1104,drone ufo carregador usb azul candide 1104,MLB-DRONES,cabo,active,Candide,,Candide 1104 Blue,7890058500286,Azul,https://http2.mlstatic.com/D_NQ_NP_613657-MLU70688941972_072023-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB62914967,2 tomadas elétricas com carregador USB duplo,2 tomadas eletricas carregador usb duplo,MLB-ELECTRICAL_OUTLETS,cabo,active,IQIAN,IQIAN USB Dual,IQIAN-2TomasUSB,,Branco,https://http2.mlstatic.com/D_NQ_NP_705924-MLA100094154856_122025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB41326290,Carregador USB Dji 18W,carregador usb dji 18w,MLB-DRONE_BATTERY_CHARGERS,cabo,active,DJI,,CP.MA.00000143.01,190021344334,,https://http2.mlstatic.com/D_NQ_NP_714319-MLA95523777803_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB65270674,Carregador USB Smart Cleaning Robot Sweeper,carregador usb smart cleaning robot sweeper,MLB-ROBOT_VACUUMS,cabo,active,Mei Xun,,KS-168,724268625033,Preto,https://http2.mlstatic.com/D_NQ_NP_944993-MLA106586798755_022026-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB59786437,Carregador USB portátil compatível com Pentax,carregador usb portatil compativel pentax,MLB-CAMERA_CHARGERS,cabo,active,Norifon,,D-Li78,,,https://http2.mlstatic.com/D_NQ_NP_712467-MLA94368086690_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
